,bts_id,lat,lon,comuna
416,ALTJA,-33.733000000000004,-70.7244,BUIN
417,RUTAI,-33.738,-70.9335,ISLA DE MAIPO
418,ACUDF,-33.8577,-70.9342,PAINE
419,ECHEP,-33.3823,-70.7746,PUDAHUEL
420,SCDLV,-33.4593,-70.8426,PUDAHUEL
421,BHPCP,-33.4038,-70.5702,LAS CONDES
422,LAMP2,-33.2815,-70.8757,LAMPA
423,HSFC7,-33.4179,-70.5092,LAS CONDES
424,MTNC3,-33.7146,-70.3409,SAN JOSÉ DE MAIPO
425,CONOC,-33.1848,-70.6782,COLINA
426,PENOR,-33.5985,-70.8845,PEÑAFLOR
427,TADOU,-33.5575,-70.8211,PADRE HURTADO
428,RQLC2,-33.4902,-70.5775,PEÑALOLÉN
429,JPHF1,-33.4284,-70.5416,LAS CONDES
430,MPDO1,-33.4155,-70.5407,LAS CONDES
431,MONTE,-32.9828,-70.8585,TILTIL
432,L6NT1,-33.4845,-70.6944,CERRILLOS
433,CEPAR,-33.4022,-70.579,LAS CONDES
434,BEHUA,-33.4398,-70.6534,SANTIAGO
435,LOCER,-33.5068,-70.5792,PEÑALOLÉN
436,MIGOM,-33.5594,-70.7679,MAIPÚ
437,MECUA,-33.4559,-70.7014,ESTACIÓN CENTRAL
438,L1022,-33.4482,-70.6691,SANTIAGO
439,L1027,-33.4512,-70.6786,ESTACIÓN CENTRAL
440,L1014,-33.4091,-70.5679,LAS CONDES
441,SAVLE,-33.3258,-70.5439,LO BARNECHEA
442,HLAM1,-33.3186,-70.7329,LAMPA
443,MALAR,-33.5938,-70.6016,PUENTE ALTO
444,BRAVO,-33.4337,-70.6741,SANTIAGO
445,APERR,-33.4151,-70.6393,RECOLETA
446,PRESS,-33.5347,-70.6708,LA CISTERNA
447,SAPAM,-33.4346,-70.6672,SANTIAGO
448,ALHUE,-34.0268,-71.1017,ALHUÉ
449,PCOUF,-33.4992,-70.5692,PEÑALOLÉN
450,PNRF2,-33.4233,-70.6099,PROVIDENCIA
451,GUAKA,-33.3789,-70.6585,CONCHALÍ
452,ALEJS,-33.4726,-70.5635,PEÑALOLÉN
453,AYRCH,-33.2017,-70.6548,COLINA
454,LPRFE,-33.2806,-70.6353,COLINA
455,ERHB1,-33.4872,-70.7258,CERRILLOS
456,BOLIT,-33.4473,-70.5639,LA REINA
457,CARRF,-33.4195,-70.6626,INDEPENDENCIA
458,FISAB,-33.5355,-70.7447,MAIPÚ
459,MVICF,-33.4603,-70.6293,SANTIAGO
460,RGRCF,-33.4709,-70.5782,MACUL
461,VESCF,-33.3379,-70.4925,LO BARNECHEA
462,L3VF1,-33.4555,-70.5975,ÑUÑOA
463,L3HO1,-33.4516,-70.6502,SANTIAGO
464,L3VI1,-33.3974,-70.6695,CONCHALÍ
465,TLUCO,-33.482,-70.6498,SAN MIGUEL
466,TSTGB,-33.4542,-70.6886,ESTACIÓN CENTRAL
467,MERCD,-33.4381,-70.6458,SANTIAGO
468,CLIBI,-33.4569,-70.7012,ESTACIÓN CENTRAL
469,HIPCL,-33.4049,-70.6684,INDEPENDENCIA
470,ESPEF,-33.3683,-70.6623,HUECHURABA
471,HURFF,-33.4395,-70.6512,SANTIAGO
472,IRZG1,-33.4556,-70.5931,ÑUÑOA
473,ISIC1,-33.414,-70.6003,LAS CONDES
474,PZCHF,-33.4081,-70.6595,INDEPENDENCIA
475,JCASF,-33.4241,-70.6908,QUINTA NORMAL
476,EYRRE,-33.6094,-70.5543,PUENTE ALTO
477,JUDF2,-33.5107,-70.6083,LA FLORIDA
478,L4RMF,-33.5361,-70.5928,LA FLORIDA
479,LALG1,-33.3711,-70.4814,LAS CONDES
480,LARAN,-33.8905,-71.4214,SAN PEDRO
481,LARIN,-33.5156,-70.8266,MAIPÚ
482,LAVIF,-33.5251,-70.6271,LA GRANJA
483,LAZIF,-33.4534,-70.7913,PUDAHUEL
484,LBANF,-33.5521,-70.6503,SAN RAMÓN
485,LBLG1,-33.6257,-70.6758,SAN BERNARDO
486,APARF,-33.4906,-70.7249,CERRILLOS
487,CONCH,-33.3826,-70.6871,CONCHALÍ
488,CRENF,-33.4125,-70.6874,RENCA
489,DGARF,-33.5652,-70.6726,EL BOSQUE
490,SENDF,-33.5482,-70.6294,LA GRANJA
491,TALAU,-33.6907,-70.953,TALAGANTE
492,TGCC1,-33.6641,-70.926,TALAGANTE
